"","X","Nombre","Equipo...Posicion","Peso","Altura","Nacionalidad","Juegos.Jugados","Juegos.Titular","Goles","Minutos.Jugados","Tarjetas.Amarillas","Tarjetas.Rojas"
"317",317,"Daniel Arreola Argüello","Puebla F.C. ",74.6,1.78,"Mexicano",8,7,0,621,1,0
"318",318,"Diego Andrés Cruz Esparza","Puebla F.C. ",60,1.69,"Mexicano",0,0,0,0,0,0
"319",319,"Carlos Gerardo Rodríguez Serrano","Puebla F.C. ",78.5,1.81,"Mexicano",3,3,0,245,0,0
"320",320,"Alonso René Zamora Barrera","Puebla F.C. ",72.6,1.79,"Mexicano",0,0,0,0,0,0
"321",321,"Maximiliano Perg Schneider","Puebla F.C. ",81,1.85,"Uruguayo",10,10,0,900,2,0
"322",322,"Jesús Arturo Paganoni Peña","Puebla F.C. ",68,1.69,"Mexicano",3,3,0,195,0,0
"323",323,"Maximiliano Javier Araújo Vilches","Puebla F.C. ",74,1.76,"Uruguayo",1,0,0,19,0,0
"324",324,"Emanuel Gularte Méndez","Puebla F.C. ",83,1.89,"Uruguayo",0,0,0,0,0,0
"325",325,"Néstor Vicente Vidrio Serrano","Puebla F.C. ",77,1.82,"Mexicano",0,0,0,0,0,0
"326",326,"Alejandro Saúl Chumacero Bracamonte","Puebla F.C. ",63,1.64,"Boliviano",7,3,0,208,0,0
"327",327,"Javier Alván  Salas Salazar","Puebla F.C. ",73,1.83,"Mexicano",9,9,0,810,2,1
"328",328,"Pablo González Díaz","Puebla F.C. ",71.8,1.74,"Mexicano",8,6,0,563,1,1
"329",329,"Osvaldo David Martínez Arce","Puebla F.C. ",72,1.66,"Mexicano",10,8,1,683,2,0
"330",330,"Jorge Jonathan Espericueta Escamilla","Puebla F.C. ",73,1.78,"Mexicano",0,0,0,0,0,0
"331",331,"Jesús Eduardo Zavala Castañeda","Puebla F.C. ",87.5,1.9,"Mexicano",8,8,0,693,2,0
"332",332,"Christian Camilo Marrugo Rodríguez","Puebla F.C. ",74.8,1.75,"Colombiano",6,3,0,322,2,0
"333",333,"Jorge Alejandro Zárate Careaga","Puebla F.C. ",64,1.67,"Mexicano",1,0,0,19,0,0
"334",334,"Salvador Reyes Chávez","Puebla F.C. ",70,1.74,"Mexicano",8,7,0,629,1,0
"335",335,"Alan Jesús Acosta Montañez","Puebla F.C. ",73,1.78,"Mexicano",9,2,0,358,0,0
"336",336,"Ángel Zaldívar Caviedes","Puebla F.C. ",75,1.78,"Mexicano",9,8,2,701,0,0
"337",337,"Christian Alejandro Tabó Hornos","Puebla F.C. ",75,1.74,"Uruguayo",8,8,2,663,0,1
"338",338,"Cristian Matías Menéndez ","Puebla F.C. ",82.8,1.84,"Argentino",7,2,2,256,0,0
"339",339,"Santiago Gabriel Ormeño Zayas","Puebla F.C. ",82,1.86,"Mexicano",1,1,0,57,0,0
"340",340,"Eduardo Herrera Aguirre","Puebla F.C. ",87,1.88,"Mexicano",0,0,0,0,0,0
"341",341,"Diego Abella Calleja","Puebla F.C. ",75,1.82,"Mexicano",3,2,0,185,0,0
"342",342,"Omar Andrés Fernández Frasica","Puebla F.C. ",61,1.66,"Colombiano",10,9,0,779,0,0
"349",349,"Oscar Alfredo Ustari ","Pachuca ",76.8,1.84,"Argentino",5,5,0,450,0,0
"350",350,"Alfonso Blanco Antúnez","Pachuca ",88.2,1.82,"Mexicano",5,5,0,450,1,0
"351",351,"Carlos Agustín Moreno Luna","Pachuca ",80,1.87,"Mexicano",0,0,0,0,0,0
"352",352,"Denil Omar Maldonado Munguia","Pachuca ",78,1.84,"Hondureño",0,0,0,0,0,0
"353",353,"Miguel Ángel Tapias Dávila","Pachuca ",72.2,1.8,"Mexicano",6,6,0,540,0,0
"354",354,"Raúl López Gómez","Pachuca ",74.3,1.85,"Mexicano",6,5,0,458,1,0
"355",355,"Emmanuel García Vaca","Pachuca ",66.8,1.68,"Mexicano",0,0,0,0,0,0
"356",356,"Gustavo Daniel Cabral ","Pachuca ",76,1.84,"Argentino",10,10,0,900,2,0
"357",357,"Oscar Fabián Murillo Murillo","Pachuca ",82.5,1.84,"Colombiano",10,10,0,900,1,0
"358",358,"Kevin Nahin Álvarez Campos","Pachuca ",68.4,1.77,"Mexicano",5,5,0,422,1,0
"359",359,"Rubens Oscar Sambueza ","Pachuca ",74.5,1.73,"Mexicano",8,8,0,704,3,0
"360",360,"Cristian Souza España","Pachuca ",64.2,1.7,"Uruguayo",5,1,0,124,0,0
"361",361,"Erick Germain Aguirre Tafolla","Pachuca ",66.3,1.72,"Mexicano",10,10,1,882,1,0
"362",362,"Jorge Daniel Hernández Govea","Pachuca ",78.4,1.71,"Mexicano",10,10,0,892,4,0
"363",363,"Christian Alberto Cueva Bravo","Pachuca ",62,1.68,"Peruano",2,0,0,35,0,0
"364",364,"Francisco Antonio Figueroa Díaz","Pachuca ",55.1,1.72,"Mexicano",3,3,0,204,0,0
"365",365,"Pablo César López Martínez","Pachuca ",59.8,1.67,"Mexicano",0,0,0,0,0,0
"366",366,"Romario Andrés Ibarra Mina","Pachuca ",77,1.74,"Ecuatoriano",4,3,0,294,1,0
"367",367,"Luis Gerardo Chávez Magallón","Pachuca ",72,1.77,"Mexicano",9,7,1,521,1,1
"368",368,"Víctor Alejandro Dávila Zavala","Pachuca ",70,1.73,"Chileno",7,5,0,390,1,0
"369",369,"Colin Kazim Richards ","Pachuca ",96,1.87,"Inglés",9,7,2,561,4,0
"370",370,"Juan Manuel Iturbe Arévalos","Pachuca ",75,1.7,"Paraguayo",4,1,0,126,0,0
"371",371,"Franco Daniel Jara ","Pachuca ",76.9,1.8,"Argentino",10,8,7,710,2,0
"372",372,"Roberto Carlos de la Rosa González","Pachuca ",81.3,1.8,"Mexicano",4,0,0,100,0,0
"380",380,"Gil Esaul Alcalá Barba","Querétaro ",74.4,1.79,"Mexicano",10,10,0,900,0,0
"381",381,"Gerardo Daniel Ruíz Barragán","Querétaro ",77,1.9,"Mexicano",0,0,0,0,0,0
"382",382,"Benny Díaz Jáuregui","Querétaro ",83,1.87,"Mexicano",0,0,0,0,0,0
"383",383,"Julián Alberto Velázquez ","Querétaro ",80,1.84,"Argentino",10,10,0,885,3,1
"384",384,"Jair Pereira Rodríguez","Querétaro ",81,1.86,"Mexicano",0,0,0,0,0,0
"385",385,"Víctor Manuel Milke Almagro","Querétaro ",72,1.82,"Mexicano",0,0,0,0,0,0
"386",386,"Jorge Luis Aguilar Miranda","Querétaro ",77.5,1.83,"Paraguayo",8,7,1,634,0,0
"387",387,"Fabián Andrés Castillo Sánchez","Querétaro ",74,1.74,"Colombiano",10,10,2,818,2,0
"388",388,"Areli Betsiel Hernández Huerta","Querétaro ",72,1.73,"Mexicano",6,6,0,511,3,0
"389",389,"Idekel Alberto Domínguez Rodríguez","Querétaro ",70,1.75,"Mexicano",0,0,0,0,0,0
"390",390,"Alexis Rafael Pérez Fontanilla","Querétaro ",77,1.77,"Colombiano",0,0,0,0,0,0
"391",391,"Enrique López Fernández","Querétaro ",80,1.86,"Español",7,6,0,506,3,0
"392",392,"Michael Pérez Ortiz","Querétaro ",76,1.77,"Mexicano",4,1,0,122,1,0
"393",393,"Brian Eduardo Figueroa Flores","Querétaro ",72.9,1.77,"Mexicano",0,0,0,0,0,0
"394",394,"Clifford Aboagye ","Querétaro ",55,1.65,"Ghanés",10,10,1,891,2,0
"395",395,"Marcel Alejandro Ruiz Suárez","Querétaro ",68,1.8,"Mexicano",10,10,2,802,2,0
"396",396,"Jefferson Gabriel Orejuela Izquierdo","Querétaro ",75.4,1.79,"Ecuatoriano",4,3,0,233,2,0
"397",397,"Jonathan Suárez Cortes","Querétaro ",76,1.78,"Mexicano",4,1,0,146,0,0
"398",398,"Antonio Nava Cid","Querétaro ",92,1.69,"Mexicano",1,1,0,90,0,0
"399",399,"Jonathan Ezequiel Perlaza Leiva","Querétaro ",68.5,1.69,"Ecuatoriano",7,5,0,455,1,0
"400",400,"Omar Arellano Riverón","Querétaro ",72,1.78,"Mexicano",5,0,0,130,1,0
"401",401,"Jaime Gómez Valencia","Querétaro ",67,1.76,"Mexicano",10,10,1,900,1,0
"402",402,"Jordi Cortizo de la Piedra","Querétaro ",70,1.72,"Mexicano",5,0,0,124,0,0
"403",403,"Paolo Yrizar Martín del Campo","Querétaro ",78,1.84,"Mexicano",4,0,0,51,0,0
"404",404,"Jeison Steven Lucumí Mina","Querétaro ",75,1.78,"Colombiano",9,9,0,711,0,0
"405",405,"Ariel Gerardo Nahuelpan Osten","Querétaro ",92,1.88,"Mexicano",8,7,5,648,4,0
"406",406,"Enrique Luis Triverio ","Querétaro ",82,1.83,"Argentino",6,3,0,272,0,0
"415",415,"Carlos Felipe Rodríguez Rangel","Club Atlético de San Luis ",80,1.84,"Mexicano",10,10,0,900,0,0
"416",416,"Axel Wilfredo Werner ","Club Atlético de San Luis ",85,1.91,"Argentino",0,0,0,0,0,0
"417",417,"Roberto Alejandro Salcedo Reynoso","Club Atlético de San Luis ",79,1.83,"Mexicano",0,0,0,0,0,0
"418",418,"Juan Antonio Portales Villarreal","Club Atlético de San Luis ",76,1.82,"Mexicano",1,1,0,40,0,0
"419",419,"Matías Ezequiel Catalán ","Club Atlético de San Luis ",78,1.8,"Argentino",8,8,1,668,1,0
"420",420,"Pedro Mario Álvarez Abrante","Club Atlético de San Luis ",72,1.75,"Español",3,2,0,183,1,0
"421",421,"Luis Ricardo Reyes Moreno","Club Atlético de San Luis ",66,1.81,"Mexicano",10,10,1,900,0,0
"422",422,"Unai Bilbao Arteta","Club Atlético de San Luis ",87.5,1.92,"Español",1,1,0,90,1,0
"423",423,"Dionicio Manuel Escalante Moreno","Club Atlético de San Luis ",83,1.7,"Mexicano",9,9,0,810,0,0
"424",424,"Luis Fernando León Bermeo","Club Atlético de San Luis ",70,1.85,"Ecuatoriano",10,10,0,900,4,0
"425",425,"Mario Humberto de Luna Saucedo","Club Atlético de San Luis ",78,1.79,"Mexicano",1,0,0,5,0,0
"426",426,"Juan David Castro Ruíz","Club Atlético de San Luis ",69,1.65,"Mexicano",9,5,0,558,0,0
"427",427,"Luis Felipe Gallegos Leiva","Club Atlético de San Luis ",73,1.73,"Chileno",8,8,0,649,1,0
"428",428,"Fernando Madrigal González","Club Atlético de San Luis ",70.2,1.76,"Mexicano",0,0,0,0,0,0
"429",429,"Anderson Andrés Julio Santos","Club Atlético de San Luis ",70,1.71,"Ecuatoriano",8,4,0,326,1,0
"430",430,"Javier Cortés Granados","Club Atlético de San Luis ",62,1.71,"Mexicano",6,5,0,366,1,0
"431",431,"Carlos Gutiérrez Estefa","Club Atlético de San Luis ",73,1.77,"Mexicano",3,0,0,77,0,0
"432",432,"Jorge Alberto Sánchez López","Club Atlético de San Luis ",55,1.7,"Mexicano",5,0,0,69,0,0
"433",433,"Camilo Sebastián Mayada Mesa","Club Atlético de San Luis ",73,1.74,"Uruguayo",10,10,0,855,2,0
"434",434,"Oscar Uriel Macías Mora","Club Atlético de San Luis ",72,1.77,"Mexicano",4,1,0,100,1,0
"435",435,"Diego Hernández Jiménez","Club Atlético de San Luis ",77,1.77,"Mexicano",5,3,0,287,0,0
"436",436,"Germán Berterame ","Club Atlético de San Luis ",71,1.73,"Argentino",10,10,4,886,3,0
"437",437,"Nicolás Alejandro Ibáñez ","Club Atlético de San Luis ",76,1.78,"Argentino",10,10,5,900,0,0
"438",438,"Diego Iván Pineda Juárez","Club Atlético de San Luis ",77,1.78,"Mexicano",2,0,0,21,0,0
"439",439,"Ian González Nieto","Club Atlético de San Luis ",83,1.89,"Español",6,2,0,243,1,1
"446",446,"Hugo Alfonso González Durán","Necaxa ",82.8,1.83,"Mexicano",7,7,0,545,1,0
"447",447,"Yosgart Ernesto Gutiérrez Serna","Necaxa ",82,1.87,"Mexicano",3,2,0,265,1,0
"448",448,"José Alexis Doldán Aquino","Necaxa ",75,1.78,"Paraguayo",5,5,1,445,1,0
"449",449,"Carlos Alberto Guzmán Fonseca","Necaxa ",72.3,1.76,"Mexicano",0,0,0,0,0,0
"450",450,"Jairo Daniel González Fajardo","Necaxa ",74.9,1.69,"Mexicano",5,5,0,450,2,0
"451",451,"Raúl Martín Sandoval Zavala","Necaxa ",72,1.73,"Mexicano",5,5,0,450,0,0
"452",452,"Rodrigo Javier Noya García","Necaxa ",85.8,1.94,"Mexicano",8,8,1,706,2,0
"453",453,"Julio Cesar González Trinidad","Necaxa ",70,1.76,"Paraguayo",6,6,0,540,0,0
"454",454,"Ventura Alvarado Aispuro","Necaxa ",77.2,1.81,"Mexicano",5,5,0,450,2,0
"455",455,"Luis Ernesto Pérez Martínez","Necaxa ",77.8,1.75,"Mexicano",0,0,0,0,0,0
"456",456,"Fernando David Arce Juárez","Necaxa ",73,1.75,"Mexicano",6,6,0,531,1,0
"457",457,"Kevin Bryan Mercado Mina","Necaxa ",76,1.72,"Ecuatoriano",6,3,0,303,1,0
"458",458,"Jorge Francisco Lumbreras Romero","Necaxa ",72.5,1.79,"Mexicano",0,0,0,0,0,0
"459",459,"Yerko Bastián Leiva Lazo","Necaxa ",54,1.62,"Chileno",4,2,0,166,0,0
"460",460,"Ricardo Chávez Soto","Necaxa ",69,1.73,"Mexicano",8,8,0,719,2,0
"461",461,"Claudio Andres Baeza Baeza","Necaxa ",68,1.72,"Chileno",10,10,1,840,4,1
"462",462,"José Antonio Cobián Ruíz","Necaxa ",67,1.74,"Mexicano",2,1,0,96,0,0
"463",463,"Daniel Álvarez López","Necaxa ",74.3,1.76,"Mexicano",10,7,2,571,2,0
"464",464,"Mauro Daniel Quiroga ","Necaxa ",78,1.87,"Argentino",10,10,5,900,1,0
"465",465,"Maximiliano Nahuel Salas ","Necaxa ",71,1.72,"Argentino",9,4,1,430,0,0
"466",466,"Juan Antonio Delgado Baeza","Necaxa ",71,1.76,"Chileno",10,10,4,865,2,0
"467",467,"Luis Guillermo Madrigal Gutiérrez","Necaxa ",83,1.87,"Mexicano",7,0,0,134,0,0
"468",468,"Diego Chávez Collins","Necaxa ",73,1.75,"Mexicano",7,3,1,249,1,0
"469",469,"Ricardo Saúl Monreal Morales","Necaxa ",68,1.75,"Mexicano",0,0,0,0,0,0
"477",477,"Alfredo Talavera Díaz","Toluca ",82,1.88,"Mexicano",10,10,0,900,0,0
"478",478,"Ramón Pasquel Colin","Toluca ",76,1.81,"Mexicano",0,0,0,0,0,0
"479",479,"Luis Manuel García Palomera","Toluca ",90,1.83,"Mexicano",0,0,0,0,0,0
"480",480,"Omar Fernando Tobio ","Toluca ",83,1.86,"Argentino",0,0,0,0,0,0
"481",481,"Adrián Mora Barraza","Toluca ",80,1.9,"Mexicano",10,10,0,900,2,0
"482",482,"Jonatan Ramón Maidana ","Toluca ",80,1.85,"Argentino",6,6,0,540,1,0
"483",483,"Anibal Hernán Chala Ayovi","Toluca ",70,1.79,"Ecuatoriano",10,10,0,900,2,0
"484",484,"Diego Alejandro Rosales Islas","Toluca ",66,1.71,"Mexicano",0,0,0,0,0,0
"485",485,"Richard Ruíz Toledo","Toluca ",68,1.75,"Mexicano",4,0,0,28,0,0
"486",486,"Gastón Sauro ","Toluca ",75,1.81,"Argentino",1,0,0,19,0,0
"487",487,"Rodrigo Salinas Dorantes","Toluca ",74,1.79,"Mexicano",4,4,0,331,0,0
"488",488,"Luis Donaldo Hernández González","Toluca ",66,1.74,"Mexicano",10,10,1,900,2,0
"489",489,"Alan Medina Camacho","Toluca ",74.4,1.82,"Mexicano",0,0,0,0,0,0
"490",490,"William Fernando Da Silva ","Toluca ",72,1.75,"Mexicano",7,7,0,577,3,0
"491",491,"Diego Rigonato Rodrigues","Toluca ",76,1.75,"Brasileño",0,0,0,0,0,0
"492",492,"Federico Andrés Mancuello ","Toluca ",70,1.75,"Argentino",2,0,0,27,0,0
"493",493,"Antonio Ríos Martínez","Toluca ",74.9,1.72,"Mexicano",3,3,0,225,0,0
"494",494,"Javier Güemez López","Toluca ",70,1.74,"Mexicano",9,7,1,680,4,0
"495",495,"Edgar Felipe Pardo Castro","Toluca ",80,1.78,"Colombiano",10,9,0,784,0,0
"496",496,"Leonardo Cecilio Fernández López","Toluca ",62,1.7,"Uruguayo",10,10,8,805,2,0
"497",497,"Kevin Rafael Escamilla Moreno","Toluca ",78.6,1.79,"Mexicano",5,3,0,296,1,0
"498",498,"Emmanuel Gigliotti ","Toluca ",81,1.87,"Argentino",7,6,3,523,2,0
"499",499,"Michael Steveen Estrada Martínez","Toluca ",78,1.84,"Ecuatoriano",7,2,2,264,0,0
"500",500,"Carlos Ernesto Cisneros Barajas","Toluca ",73.5,1.75,"Mexicano",3,0,0,52,0,0
"501",501,"Pedro Alexis Canelo ","Toluca ",80,1.78,"Argentino",8,8,1,691,1,0
"516",516,"Carlos Alberto Higuera de los Ríos","Tijuana ",77,1.82,"Mexicano",1,1,0,90,0,0
"517",517,"Luis Ernesto Michel Vergara","Tijuana ",76,1.82,"Mexicano",0,0,0,0,0,0
"518",518,"Manuel Gibran Lajud Bojalil","Tijuana ",80,1.8,"Mexicano",9,9,0,810,0,0
"519",519,"Miguel Angel Barbieri ","Tijuana ",79,1.81,"Argentino",8,7,0,631,3,1
"520",520,"Jordan Jesús Silva Díaz","Tijuana ",70,1.89,"Mexicano",4,3,0,287,0,0
"521",521,"Leandro Martín González Pirez","Tijuana ",83,1.84,"Argentino",10,10,1,900,3,0
"522",522,"Vladimir Eduardo Loroña Aguilar","Tijuana ",75,1.8,"Mexicano",8,8,0,702,1,0
"523",523,"Omar Israel Mendoza Martín","Tijuana ",72,1.73,"Mexicano",4,3,0,282,0,0
"524",524,"Víctor Guadalupe Torres Chávez","Tijuana ",78,1.84,"Mexicano",0,0,0,0,0,0
"525",525,"Bryan Colula Alarcón","Tijuana ",70,1.72,"Mexicano",0,0,0,0,0,0
"526",526,"Víctor Andrés Guzmán Olmedo","Tijuana ",75,1.74,"Mexicano",0,0,0,0,0,0
"527",527,"Luis Armando Martínez Aguilar","Tijuana ",71,1.73,"Mexicano",0,0,0,0,0,0
"528",528,"Kevin Alexander Balanta Lucumi","Tijuana ",73,1.81,"Colombiano",4,3,0,187,0,0
"529",529,"José Ignacio Rivero Segade","Tijuana ",60,1.66,"Uruguayo",10,10,1,900,1,0
"530",530,"Christian Hernando Rivera Cuellar","Tijuana ",76,1.85,"Colombiano",10,7,0,773,1,0
"531",531,"Alexis Castro ","Tijuana ",73,1.83,"Argentino",6,3,2,293,1,0
"532",532,"Aldo Jafid Cruz Sánchez","Tijuana ",62,1.73,"Mexicano",9,9,0,796,0,1
"533",533,"Mauro Alberto Lainez Leyva","Tijuana ",66,1.71,"Mexicano",9,9,2,676,2,1
"534",534,"Luis Javier Gamíz Ávila","Tijuana ",68,1.72,"Mexicano",0,0,0,0,0,0
"535",535,"Jared Isaí Romero Elías","Tijuana ",71,1.73,"Mexicano",0,0,0,0,0,0
"536",536,"Edgar Iván López Rodríguez","Tijuana ",68,1.8,"Mexicano",0,0,0,0,0,0
"537",537,"Alfonso Emilio Sánchez Castillo","Tijuana ",76,1.85,"Mexicano",6,4,0,317,0,0
"538",538,"Camilo Da Silva Sanvezzo","Tijuana ",72,1.69,"Mexicano",7,7,2,505,0,0
"539",539,"Ángel Baltazar Sepúlveda Sánchez","Tijuana ",79,1.81,"Mexicano",6,2,0,168,0,0
"540",540,"Miler Alejandro Bolaños Reascos","Tijuana ",65,1.72,"Ecuatoriano",9,8,0,757,3,0
"541",541,"Bryan Dennys Angulo Tenorio","Tijuana ",70,1.83,"Ecuatoriano",6,3,1,304,0,0
"542",542,"Edwin Andrés Cardona Bedoya","Tijuana ",92,1.83,"Colombiano",4,1,0,156,2,0
"543",543,"Erick Estéfano Torres Padilla","Tijuana ",78,1.83,"Mexicano",7,1,1,171,0,0
"544",544,"Cesar Alejandro Falletti Dos Santos","Tijuana ",78,1.73,"Uruguayo",2,2,0,104,0,0
"545",545,"Daniel Guadalupe López Valdéz","Tijuana ",66,1.79,"Mexicano",0,0,0,0,0,0
"554",554,"José Santiago Hernández García","Atlas ",80,1.82,"Mexicano",0,0,0,0,0,0
"555",555,"Camilo Andrés Vargas Gil","Atlas ",82,1.87,"Colombiano",10,10,0,900,1,0
"556",556,"Edgar Adolfo Hernández Téllez","Atlas ",84,1.87,"Mexicano",0,0,0,0,0,0
"557",557,"Hugo Martín Nervo ","Atlas ",80,1.8,"Argentino",9,9,0,757,1,1
"558",558,"Ismael Govea Solorzano","Atlas ",75,1.78,"Mexicano",9,9,0,792,2,0
"559",559,"José Javier Abella Fanjul","Atlas ",73,1.75,"Mexicano",8,7,1,590,0,1
"560",560,"Anderson Santamaría Bardales","Atlas ",79,1.84,"Peruano",0,0,0,0,0,0
"561",561,"Brayton Josué Vázquez Vélez","Atlas ",78,1.81,"Mexicano",2,1,0,135,0,0
"562",562,"Diego Armando Barbosa Zaragoza","Atlas ",70,1.73,"Mexicano",3,3,1,270,1,0
"563",563,"Jesús Alberto Angulo Uriarte","Atlas ",75,1.78,"Mexicano",0,0,0,0,0,0
"564",564,"Germán Andrés Conti ","Atlas ",75,1.83,"Argentino",7,7,0,630,1,0
"565",565,"Edgar Zaldivar Valverde","Atlas ",75,1.72,"Mexicano",5,3,0,340,0,0
"566",566,"Ían Jairo Misael Torres Ramírez","Atlas ",67,1.7,"Mexicano",6,4,0,360,0,1
"567",567,"Ulíses Israel Cardona Carrillo","Atlas ",70,1.78,"Mexicano",6,6,0,462,0,0
"568",568,"Daniel Aguilar Muñoz","Atlas ",76,1.75,"Mexicano",0,0,0,0,0,0
"569",569,"Mauricio Andrés Cuero Castillo","Atlas ",83,1.78,"Colombiano",5,2,2,239,1,0
"570",570,"Faberth Manuel Balda Rodríguez","Atlas ",70,1.78,"Ecuatoriano",1,1,0,45,0,0
"571",571,"Lorenzo Enrique Reyes Vicencio","Atlas ",70,1.7,"Chileno",7,7,0,567,1,0
"572",572,"Jesús Antonio Isijara Rodríguez","Atlas ",78,1.79,"Mexicano",9,5,0,504,0,0
"573",573,"Ignacio Alejandro Jeraldino Jil","Atlas ",77,1.8,"Chileno",9,9,2,772,4,0
"574",574,"Luciano Federico Acosta ","Atlas ",60,1.7,"Argentino",10,10,1,807,3,0
"575",575,"Edson Ulíses Rivera Vargas","Atlas ",78,1.8,"Mexicano",6,2,0,185,0,0
"576",576,"Marcelo Javier Correa ","Atlas ",80,1.8,"Argentino",8,4,2,436,3,0
"585",585,"Marcelo Alberto Barovero ","Monterrey ",72.5,1.82,"Argentino",10,10,0,900,1,0
"586",586,"Luis Alberto Cárdenas López","Monterrey ",84.1,1.83,"Mexicano",0,0,0,0,0,0
"587",587,"Edson Alan Reséndez Sánchez","Monterrey ",82.3,1.81,"Mexicano",0,0,0,0,0,0
"588",588,"César Jasib Montes Castro","Monterrey ",70,1.91,"Mexicano",8,7,0,653,1,0
"589",589,"Nicolás Gabriel Sánchez ","Monterrey ",74,1.82,"Argentino",9,9,2,764,3,1
"590",590,"Edson Antonio Gutiérrez Moreno","Monterrey ",67,1.76,"Mexicano",2,1,0,103,0,0
"591",591,"Leonel Jesús Vangioni ","Monterrey ",68,1.78,"Argentino",4,4,0,283,0,0
"592",592,"José María Basanta ","Monterrey ",78.3,1.88,"Mexicano",4,4,0,331,1,0
"593",593,"Jesús Daniel Gallardo Vasconcelos","Monterrey ",73,1.76,"Mexicano",8,8,3,720,3,0
"594",594,"Miguel Arturo Layún Prado","Monterrey ",71,1.78,"Mexicano",10,7,1,667,0,0
"595",595,"John Stefan Medina Ramírez","Monterrey ",72,1.8,"Colombiano",10,10,0,900,1,0
"596",596,"Claudio Matías Kranevitter ","Monterrey ",67,1.78,"Argentino",3,3,0,260,0,0
"597",597,"Celso Fabián Ortíz Gamarra","Monterrey ",74.5,1.74,"Paraguayo",9,8,0,734,1,0
"598",598,"Arturo Alfonso González González","Monterrey ",79.2,1.75,"Mexicano",6,0,0,108,1,0
"599",599,"Jonathan Alexander González Mendoza","Monterrey ",62,1.75,"Mexicano",4,1,0,130,0,0
"600",600,"Carlos Alberto Rodríguez Gómez","Monterrey ",66,1.76,"Mexicano",9,9,0,720,2,0
"601",601,"Maximiliano Eduardo Meza ","Monterrey ",80,1.81,"Argentino",7,5,0,445,2,0
"602",602,"William Hudson Silva De Almeida","Monterrey ",76,1.78,"Mexicano",0,0,0,0,0,0
"603",603,"Eric David Cantú Guerrero","Monterrey ",72.4,1.78,"Mexicano",0,0,0,0,0,0
"604",604,"Rogelio Gabriel Funes Mori ","Monterrey ",78.8,1.86,"Argentino",9,9,2,810,5,0
"605",605,"Dorlan Mauricio Pabón Ríos","Monterrey ",74.4,1.7,"Colombiano",9,7,0,528,2,0
"606",606,"Vincent Petrus Anna Sebastiaan Janssen ","Monterrey ",79,1.84,"Neerlandés",6,2,0,294,1,0
"607",607,"Ake Arnaud Loba ","Monterrey ",72,1.79,"Costamarfileño",3,2,1,119,0,0
